feature_0,feature_1,target
2.3299768882652896,3.0659321670753465,4
-5.982147821277703,-4.9663833404050575,7
-2.238740797272911,8.964048018749185,0
-7.13580694364665,-7.121607039146726,2
1.8901308792198037,4.233730521305198,4
-0.36593196199907907,-3.2380497817854814,9
5.439820738170152,0.3568590755041441,1
4.274557284915993,2.1578499898056402,1
4.853075464465791,1.221200352201913,1
-8.332738514800136,8.812636023826993,3
-5.398173988696861,-5.627573593077245,7
4.088020690335655,4.531368969608984,1
-10.102210740732794,8.19924564524601,5
-7.877331157102841,-5.701034199335168,7
-7.387767388798581,-7.027889912093418,2
3.2425831312818927,3.084772428449895,4
-9.82475895081981,9.278577418871114,5
-9.1788715834417,9.12152527152074,5
-4.419577824106415,-1.0247641669742276,8
8.11863707479593,-6.375488009328473,6
-4.350071854384396,7.73470916146262,0
5.928863282786496,-6.677280593775542,6
-0.37337111123308553,-4.9510235574767645,9
-4.104345322084326,0.40879077439803035,8
-6.651563454209266,-5.90088684492043,7
3.9230565156252966,0.10663306686767204,1
-5.3254667704364955,-6.0261336167237225,2
-5.914229706560099,-5.643978871469729,2
-2.8449823223428785,10.683307653487715,0
-11.159462465201834,10.479711129539627,5
-0.6578457990617379,-5.94919232824168,9
-1.9721846896344029,-4.416141500028212,9
1.3684018465385992,4.1887649357723475,4
-5.953815312111438,-6.928903391352256,7
-7.808870275037653,8.195838295527153,3
2.317580175485044,3.3849524154279087,4
-6.008162460267851,-8.141177517519582,7
-6.269638063505848,0.5133810935008702,8
1.3436571735700724,3.8432140281782887,4
-2.6704833347187593,9.41833698501286,0
-8.961875441630006,9.318288590577337,5
-1.4097062354523517,0.04348754346781036,8
-4.4555314797963,-0.30635528918624955,8
-8.978784068875349,7.842823309398644,5
-1.8190536313416377,8.613065656312486,0
-2.9685585225929945,8.16444175873353,0
1.2314184431696102,4.195459652149055,4
-6.67633712890951,-5.300990464564417,7
-11.067087237930236,11.070462947337413,5
6.267363401184343,-7.073711229839509,6
-2.315057293988767,2.023460196131003,8
7.013414293363892,-6.433391262782428,6
-10.364184937250435,9.477161088907971,5
-0.3656844367082107,-3.599855270208796,9
-1.3904513292733798,-3.7801099433898306,9
4.248120687184279,1.0507594994422296,1
